RA,DEC,XSIZE,YSIZE
358.3406816, -58.9660379, 10, 10
355.8253677, -57.1623017, 10, 10
332.6717176, -50.4503607, 10, 10
339.6060170, -51.2397203, 10, 10
334.9264663, -52.9082500, 10, 10
20.9509332,  -46.3929102, 10, 10
13.9533771,  -61.6113584, 10, 10
9.6850043,   -62.5183344, 10, 10
4.7933191,   -62.9928292, 10, 10
15.3070440,  -62.5541006, 10, 10
359.4684122, -53.1873332, 10, 10
354.9016182, -55.1015324, 10, 10
354.6625756, -54.9782464, 10, 10
0.7976041,   -54.7533048, 10, 10
358.2600173, -55.5060989, 10, 10
25.5983413,  -57.5066135, 10, 10

